EMG_Raw1,EMG_Raw2,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ
978.47,628.03,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
790.67,649.07,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
933.02,689.63,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
925.14,696.02,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
788.79,690.38,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
876.68,647.94,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
979.6,608.5,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
1043.07,599.11,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
983.35,622.4,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
904.85,730.95,0.065,-0.972,0.222,0.61,-9.644,3.601,-72.103,-3.625,168.596
972.84,730.2,0.077,-0.966,0.202,0.61,-9.644,3.601,-72.103,-3.625,168.596
834.24,635.92,0.077,-0.966,0.202,0.61,-9.644,3.601,-72.103,-3.625,168.596
899.59,509.34,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.103,-3.625,168.596
886.07,583.34,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.103,-3.625,168.596
856.78,650.95,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.103,-3.625,168.596
1093.4,730.2,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.103,-3.625,168.596
1068.99,749.35,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.103,-3.625,168.596
1056.6,674.61,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
1022.04,615.64,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
1012.65,536.76,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
997.25,667.47,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
910.11,684.38,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
984.86,588.97,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
982.98,569.82,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
991.62,687.0,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
856.78,732.08,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
870.3,655.45,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
927.39,695.64,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
921.0,700.53,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
859.03,534.13,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
902.6,543.9,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
846.26,658.08,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
834.24,747.48,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
854.9,677.24,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
957.44,597.99,0.077,-0.966,0.202,-5.371,-3.357,2.319,-72.817,-3.631,169.178
892.08,638.18,0.07,-0.966,0.223,-5.371,-3.357,2.319,-72.817,-3.631,169.178
866.92,640.43,0.07,-0.966,0.223,-5.371,-3.357,2.319,-72.817,-3.631,169.178
948.42,672.36,0.07,-0.966,0.223,-6.714,1.038,2.197,-72.817,-3.631,169.178
978.47,672.36,0.07,-0.966,0.223,-6.714,1.038,2.197,-72.817,-3.631,169.178
911.99,680.24,0.07,-0.966,0.223,-6.714,1.038,2.197,-72.817,-3.631,169.178
924.38,647.94,0.07,-0.966,0.223,-6.714,1.038,2.197,-72.817,-3.631,169.178
861.66,590.47,0.07,-0.966,0.223,-6.714,1.038,2.197,-72.817,-3.631,169.178
869.92,581.08,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
886.07,658.08,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1019.79,668.98,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1085.89,670.48,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1068.24,617.89,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1037.06,670.1,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
978.47,682.5,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1045.33,612.26,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
860.16,618.64,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
981.48,674.61,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1008.89,735.83,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
987.11,660.71,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
873.3,564.56,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
945.42,611.51,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
860.91,648.32,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
948.8,620.9,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
904.85,656.96,0.07,-0.966,0.223,-6.714,1.038,2.197,-73.707,-3.538,169.332
1001.76,684.38,0.072,-0.969,0.23,-6.714,1.038,2.197,-73.707,-3.538,169.332
1087.39,703.91,0.072,-0.969,0.23,-6.714,1.038,2.197,-73.707,-3.538,169.332
1001.76,672.36,0.072,-0.969,0.23,-6.714,1.038,2.197,-73.707,-3.538,169.332
1008.89,567.56,0.072,-0.969,0.23,-7.751,0.305,1.221,-73.707,-3.538,169.332
951.43,611.13,0.072,-0.969,0.23,-7.751,0.305,1.221,-73.707,-3.538,169.332
890.2,685.5,0.072,-0.969,0.23,-7.751,0.305,1.221,-73.707,-3.538,169.332
906.36,641.93,0.072,-0.969,0.23,-7.751,0.305,1.221,-73.707,-3.538,169.332
998.75,682.12,0.072,-0.969,0.23,-7.751,0.305,1.221,-73.707,-3.538,169.332
955.18,653.95,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
918.37,616.39,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
884.57,634.04,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
909.36,668.98,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
953.31,645.69,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
951.05,572.82,0.072,-0.969,0.23,-7.751,0.305,1.221,-74.68,-3.4,169.014
